state,county,candidate,party,total_votes,won
Florida,Alachua County,Joe Biden,DEM,89704,TRUE
Florida,Alachua County,Donald Trump,REP,50972,FALSE
Florida,Alachua County,Jo Jorgensen,LIB,1390,FALSE
Florida,Alachua County,Howie Hawkins,GRN,302,FALSE
Florida,Alachua County,Gloria La Riva,PSL,94,FALSE
Florida,Alachua County,Rocky De La Fuente,ALI,70,FALSE
Florida,Alachua County,Don Blankenship,CST,52,FALSE
Florida,Alachua County,Write-ins,WRI,20,FALSE
Florida,Baker County,Donald Trump,REP,11911,TRUE
Florida,Baker County,Joe Biden,DEM,2037,FALSE
Florida,Baker County,Jo Jorgensen,LIB,93,FALSE
Florida,Baker County,Howie Hawkins,GRN,10,FALSE
Florida,Baker County,Rocky De La Fuente,ALI,4,FALSE
Florida,Baker County,Gloria La Riva,PSL,3,FALSE
Florida,Baker County,Don Blankenship,CST,1,FALSE
Florida,Baker County,Write-ins,WRI,0,FALSE
Florida,Bay County,Donald Trump,REP,66097,TRUE
Florida,Bay County,Joe Biden,DEM,25614,FALSE
Florida,Bay County,Jo Jorgensen,LIB,1004,FALSE
Florida,Bay County,Howie Hawkins,GRN,142,FALSE
Florida,Bay County,Rocky De La Fuente,ALI,54,FALSE
Florida,Bay County,Don Blankenship,CST,52,FALSE
Florida,Bay County,Gloria La Riva,PSL,45,FALSE
Florida,Bay County,Write-ins,WRI,16,FALSE
Florida,Bradford County,Donald Trump,REP,10334,TRUE
Florida,Bradford County,Joe Biden,DEM,3160,FALSE
Florida,Bradford County,Jo Jorgensen,LIB,110,FALSE
Florida,Bradford County,Howie Hawkins,GRN,11,FALSE
Florida,Bradford County,Rocky De La Fuente,ALI,7,FALSE
Florida,Bradford County,Don Blankenship,CST,6,FALSE
Florida,Bradford County,Gloria La Riva,PSL,3,FALSE
Florida,Bradford County,Write-ins,WRI,1,FALSE
Florida,Brevard County,Donald Trump,REP,207883,TRUE
Florida,Brevard County,Joe Biden,DEM,148549,FALSE
Florida,Brevard County,Jo Jorgensen,LIB,3178,FALSE
Florida,Brevard County,Howie Hawkins,GRN,553,FALSE
Florida,Brevard County,Rocky De La Fuente,ALI,222,FALSE
Florida,Brevard County,Don Blankenship,CST,171,FALSE
Florida,Brevard County,Gloria La Riva,PSL,164,FALSE
Florida,Brevard County,Write-ins,WRI,44,FALSE
Florida,Broward County,Joe Biden,DEM,618752,TRUE
Florida,Broward County,Donald Trump,REP,333409,FALSE
Florida,Broward County,Jo Jorgensen,LIB,3114,FALSE
Florida,Broward County,Howie Hawkins,GRN,1253,FALSE
Florida,Broward County,Rocky De La Fuente,ALI,426,FALSE
Florida,Broward County,Gloria La Riva,PSL,417,FALSE
Florida,Broward County,Don Blankenship,CST,238,FALSE
Florida,Broward County,Write-ins,WRI,63,FALSE
Florida,Calhoun County,Donald Trump,REP,5274,TRUE
Florida,Calhoun County,Joe Biden,DEM,1209,FALSE
Florida,Calhoun County,Jo Jorgensen,LIB,29,FALSE
Florida,Calhoun County,Rocky De La Fuente,ALI,4,FALSE
Florida,Calhoun County,Howie Hawkins,GRN,4,FALSE
Florida,Calhoun County,Gloria La Riva,PSL,4,FALSE
Florida,Calhoun County,Don Blankenship,CST,2,FALSE
Florida,Calhoun County,Write-ins,WRI,0,FALSE
Florida,Charlotte County,Donald Trump,REP,73243,TRUE
Florida,Charlotte County,Joe Biden,DEM,42273,FALSE
Florida,Charlotte County,Jo Jorgensen,LIB,565,FALSE
Florida,Charlotte County,Howie Hawkins,GRN,129,FALSE
Florida,Charlotte County,Rocky De La Fuente,ALI,49,FALSE
Florida,Charlotte County,Don Blankenship,CST,45,FALSE
Florida,Charlotte County,Gloria La Riva,PSL,32,FALSE
Florida,Charlotte County,Write-ins,WRI,4,FALSE
Florida,Citrus County,Donald Trump,REP,65352,TRUE
Florida,Citrus County,Joe Biden,DEM,27092,FALSE
Florida,Citrus County,Jo Jorgensen,LIB,548,FALSE
Florida,Citrus County,Howie Hawkins,GRN,86,FALSE
Florida,Citrus County,Don Blankenship,CST,49,FALSE
Florida,Citrus County,Rocky De La Fuente,ALI,42,FALSE
Florida,Citrus County,Gloria La Riva,PSL,30,FALSE
Florida,Citrus County,Write-ins,WRI,9,FALSE
Florida,Clay County,Donald Trump,REP,84480,TRUE
Florida,Clay County,Joe Biden,DEM,38317,FALSE
Florida,Clay County,Jo Jorgensen,LIB,1286,FALSE
Florida,Clay County,Howie Hawkins,GRN,153,FALSE
Florida,Clay County,Don Blankenship,CST,57,FALSE
Florida,Clay County,Gloria La Riva,PSL,55,FALSE
Florida,Clay County,Rocky De La Fuente,ALI,45,FALSE
Florida,Clay County,Write-ins,WRI,12,FALSE
Florida,Collier County,Donald Trump,REP,128950,TRUE
Florida,Collier County,Joe Biden,DEM,77621,FALSE
Florida,Collier County,Jo Jorgensen,LIB,889,FALSE
Florida,Collier County,Howie Hawkins,GRN,186,FALSE
Florida,Collier County,Rocky De La Fuente,ALI,64,FALSE
Florida,Collier County,Gloria La Riva,PSL,50,FALSE
Florida,Collier County,Don Blankenship,CST,39,FALSE
Florida,Collier County,Write-ins,WRI,19,FALSE
Florida,Columbia County,Donald Trump,REP,23836,TRUE
Florida,Columbia County,Joe Biden,DEM,8914,FALSE
Florida,Columbia County,Jo Jorgensen,LIB,224,FALSE
Florida,Columbia County,Howie Hawkins,GRN,28,FALSE
Florida,Columbia County,Gloria La Riva,PSL,20,FALSE
Florida,Columbia County,Rocky De La Fuente,ALI,12,FALSE
Florida,Columbia County,Don Blankenship,CST,8,FALSE
Florida,Columbia County,Write-ins,WRI,0,FALSE
Florida,DeSoto County,Donald Trump,REP,8313,TRUE
Florida,DeSoto County,Joe Biden,DEM,4259,FALSE
Florida,DeSoto County,Jo Jorgensen,LIB,52,FALSE
Florida,DeSoto County,Rocky De La Fuente,ALI,12,FALSE
Florida,DeSoto County,Gloria La Riva,PSL,11,FALSE
Florida,DeSoto County,Howie Hawkins,GRN,8,FALSE
Florida,DeSoto County,Don Blankenship,CST,4,FALSE
Florida,DeSoto County,Write-ins,WRI,0,FALSE
Florida,Dixie County,Donald Trump,REP,6759,TRUE
